pro_numero,pro_razon,pro_ncorto,pro_rfc,pro_director,pro_director_tel,pro_director_email,pro_creycobranza,pro_cobranza_tel,pro_cobranza_email,pro_calle,pro_num_int,pro_num_ext,pro_colonia,pro_pais,pro_estado,pro_delompio,pro_cp,pro_telefonos,pro_fax,pro_fecha_alta,pro_observaciones,pro_codigo,pro_descto1,pro_descto2,pro_descto3,pro_atencion,pro_diascredito,pro_status,pro_cuenta,pro_saldoinipzs,pro_saldoiniimp,pro_fechasaldoini,pro_saldofinalpzs,pro_saldofinalimp,pro_fechasaldofin,pro_saldoini,pro_abonofact,pro_abonoremi,pro_cargofact,pro_cargoremi,pro_sigla,pro_sifact_norecep,pro_pago_al_vencimiento,pro_dias_resurtido,pro_tipo
31,"MAGNA PIEL, S.A. DEC.V.                                     ",TROY                          ,MPI091106CE2   ,LIC. RAFAEL GONZALEZ CORTES                       ,                                                  ,                                                  ,ANEL GARCIA                                       ,1054-6238 AL 40                                   ,MAGNA.PIEL@HOTMAIL.COM                            ,MANZANILLO                              ,          ,181,ROMA SUR                                ,1,9,CUAUHTEMOC                              ,6760,10-54-62-38 - AL 40                               ,10-54-62-40    ,3/5/97,"0%, 30 Dias                                                                                                             ",65,0,0,0,EDGARDO LOPEZ                                     ,30,TRUE,,,,,-132,-5073.7,5/9/13,TRUE,,,,,P,FALSE,FALSE,30,1
33,"ALFREDO  SHOE  DE MEXICO, S.A. DE C.V.                      ",                              ,ASM-950719-254 ,SR. ALFREDO PADILLA                               ,,,SRTA. MONICA                                      ,,,CURTIDOR No. 312                        ,          ,          ,FRACC. IND. JULIAN DE OBREGON           ,1,1,                                        ,37290,9147-11-62-07 - 9147-11-62-37                     ,9147-11-41-71  ,1/9/99,5%  30 Dias                                                                                                             ,14,5,0,0,SR. ALFREDO PADILLA                               ,30,FALSE,,,,,-13,-3448,5/9/13,TRUE,,,,,P,,,,1
55,CECILIA MARTINEZ SANCHEZ                                    ,                              ,MASC-651122-572,                                                  ,,,                                                  ,,,GUSTAVO BAZ No.98                       ,          ,          ,IND. ALCE BLANCO                        ,1,1,                                        ,53370,(5)-359-06-69 -                                   ,               ,6/1/00,0%,79,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
62,"BOTAS INDUSTRIALES DE PILETAS, S.A. De C.V                  ",                              ,BIP-921127-776 ,MARTIN MENDEZ DAVALOS                             ,,,SRTA. GABRIELA NAVARO                             ,,,MIGUEL DE CERVANTES SAAVEDRA No 1903-190,          ,          ,COL.  PILETAS                           ,1,1,                                        ,37310,014777 62-58-37 - 014777 62-57-77                 ,014777 62-58-15,6/1/00,"0%, 8 Dias Consig. Corte semanal                                                                                        ",114,0,0,0,SRTA. GABRIELA NAVARO                             ,8,FALSE,,,,,-7,-3179,5/9/13,TRUE,,,,,P,,,,1
63,TECNOLOGIA EN LA MODA S.A. DE C.V                           ,GOSH                          ,TMO-000503-787 ,LIIS HUMBERTO VELA                                ,                                                  ,                                                  ,LAURA CERVERA                                     ,01477-7717726                                     ,LAURA@GOSH.COM.MX                                 ,TRANSPORTISTAS                          ,          ,102,FRACC. IND.JULIAN DE OBREGON            ,1,12,LEON                                    ,37290,014777 71-77-26 - 014777 71-77-27                 ,               ,2/2/01,0% 8 DIAS CONSIG. CORTE SEMANAL  FIRME 45 DIAS                                                                          ,105,0,0,0,LUIS HUMBERTO VELA                                ,45,TRUE,,,,,-559,-109477.73,5/9/13,TRUE,,,,,P,FALSE,FALSE,35,1
65,"ATHLETIC FOOTWEAR, S.A DE C.V.                              ",ATHLETIC                      ,AFO-901221-IC2 ,PABLO HERNANDEZ                                   ,                                                  ,                                                  ,ROSALBA GUTIERREZ ALBA                            ,56467966,LOGROSALBA_GTZ@HOTMAIL.COM                        ,PASEO DEL RIO                           ,101,66,PASEOS DE TAXQUEÑA                      ,1,9,COYOACAN                                ,        , -                                                ,               ,3/11/05,"OMAR CASTELL, RED TRAFFIC Y DUTY GEAR                                                                                   ",150,0,0,0,ERIKA GARCIA                                      ,8,TRUE,,,,,-866,-278835.37,5/9/13,TRUE,,,,,P,FALSE,FALSE,60,1
66,GRUPO INDUSTRIL ITAL-MODA S.A. DE C.V.                      ,ITAL MODA                     ,GII-891211 9P7 ,SALVADOR SUAREZ                                   ,                                                  ,                                                  ,MARCO ANTONIO GUTIERREZ                           ,01477-1676261                                     ,COBRANZA@PARUNO.COM.MX                            ,KAPPA                                   ,          ,305,INDUSTRIAL DELTA                        ,1,12,LEON                                    ,37545,01 477 167-62-61                                  ,01 477 167-62-6,7/23/01,DOCKERS Y PAR UNO                                                                                                       ,102,0,0,0,SILVERIO RODRIGUEZ V.                             ,90,TRUE,,,,,-271,-142647.96,5/9/13,TRUE,,,,,P,FALSE,FALSE,45,1
67,"MANUFACTURERA HILMEN, S.A. DE C.V.                          ",GILLIO                        ,MHI-920926-1E3 ,FRANCISCO HILL M.                                 ,                                                  ,                                                  ,MERCEDES MIRANDA                                  ,01477-7112585 EXT 14                              ,MERCIMI10@HOTMAIL.COM                             ,AV. INDUSTRIALES                        ,          ,416,FRACC. JULIAN DE OBREGON                ,1,12,LEON                                    ,37290,0147-11-76-32 - 0147-11-87-60                     ,0147-11-87-96  ,7/23/01,5% 30 DIAS FIRME Y 0% 8 DIAS CONSING.                                                                                   ,104,0,0,0,FRANCISCO HILL M.                                 ,30,TRUE,,,,,-248,-83560.26,5/9/13,TRUE,,,,,P,FALSE,FALSE,45,1
86,"CIRCULO COORDINADOR, S.A. DE C.V.                           ",MOSCA                         ,CCO-040715-BQ6 ,SR. VICTOR HUACUJA WILLIAMS                       ,                                                  ,                                                  ,NORMA TAVARES                                     ,01477-7174768                                     ,NORMA@MOSCAFOOTWEAR.COM                           ,MACEDONIA                               ,A         ,157,SAN PABLO                               ,1,12,LEON                                    ,37207,014777 17-47-68 -                                 ,               ,6/8/04,"0%, 8 DIAS                                                                                                              ",82,0,0,0,VICTOR HUACUJA                                    ,8,TRUE,,,,,-800,-180126.28,5/9/13,TRUE,,,,,P,FALSE,FALSE,30,1
87,"A.B.C. IMPORTACIONES,S.A. DE C.V.                           ",                              ,ABC-910225-LAO ,                                                  ,,,                                                  ,,,LORENZO GARZA No. 11                    ,          ,          ,SAN LORENZO TLALTENANGO                 ,1,1,                                        ,11210,53-58-80-44 -                                     ,53-58-82-63    ,6/14/04,"0%,  Contra entrega                                                                                                     ",99,0,0,0,SR. ALBERTO HABER ROFFE                           ,0,FALSE,,,,,,,,,,,,,P,,,,1
88,STAY  COOL  SA DE CV                                        ,STAY COOL                     ,SCO-040325-TZA ,ABRANAM GOLDAPER                                  ,2624-0909                                         ,ag@staycool.com.mx                                ,DANTE DI MALAGGO                                  ,2624-0909                                         ,DANTE@GRYPHO                                      ,TOLSA                                   ,PISO 2    ,50,CENTRO                                  ,1,9,CUAUHTEMOC                              ,6050,26-24-09-09 - 26-24-09-10                         ,               ,6/14/04,                                                                                                                        ,139,0,0,0,ABRANAM GOLDAPER                                  ,0,TRUE,,,,,,,,,,,,,P,,,,1
91,"FORTITUDO, S.A. DE C.V.                                     ",CREAM SODA                    ,FOR040416S17   ,LUIS ALBERTO LEON                                 ,01477-7120718                                     ,GUICHO@CREAMSODA.COM.MX                           ,ELVIRA ROMERO                                     ,01477-7120718                                     ,ELVIRA@CREAMSODA.COM.MX                           ,HONDA DE SAN MIGUEL                     ,          ,342,SAN MIGUEL                              ,1,12,LEON                                    ,37390,014777 12-07-18 - 014777 15 16 72                 ,014777 15-04-28,8/1/04,"12%,  30 DIAS                                                                                                           ",20,15,0,0,LUIS ALBERTO LEON                                 ,30,TRUE,,,,,-11,-3974.29,5/9/13,TRUE,,,,,P,FALSE,FALSE,30,1
99,"HERRAJES Y DISEÑO, S. DE R.L. DE M.I                        ",                              ,HDI-930113-2F5 ,                                                  ,,,                                                  ,,,SCHUMANN No. 165-1                      ,          ,          ,VALLEJO                                 ,1,1,                                        ,7870,55-17-85-46 - 55-17-86-21                         ,55-37-69-70    ,3/15/05,"0%,  Contado                                                                                                            ",42,0,0,0,MOISÈS MOTOLA A.                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
101,"TENIS CON IMAGINACION, S.A. DE C.V.                         ",                              ,TIM-970310-6TA ,SION SOFERT                                       ,,,                                                  ,,,INGENIEROS MILITARES No. 70 INT. 5-A    ,          ,          ,ARGENTINA PONIENTE                      ,1,1,MIGUEL HIDALGO                          ,11230,52 71 06 17 -                                     ,55 16 21 07    ,5/7/05,"0%,  30 Dias                                                                                                            ",15,0,0,0,ENRIQUE VILLALPANDO                               ,30,FALSE,,,,,,,,,,,,,P,,,,1
102,"FANTASY KIDS, S.A. DE C.V.                                  ",                              ,FKI-061122-KU3 ,SION SOFERT                                       ,,,                                                  ,,,INGENIEROS MILITARES No. 70 BODEGA 3    ,          ,          ,ARGENTINA PONIENTE                      ,1,1,MIGUEL HIDALGO                          ,11230,53-57-13-37 -                                     ,53-57-13-80    ,5/7/05,"0%,  30 Dias                                                                                                            ",16,0,0,0,ENRIQUE VILLALPANDO                               ,30,FALSE,,,,,,,,,,,,,P,,,,1
108,"SHEFFAH, S.A. DE C.V.                                       ",                              ,               ,MOISES KASSIN CHEREM                              ,,,                                                  ,,,AV. CHAPULTEPEC # 473 5TO PISO          ,          ,          ,JUAREZ                                  ,1,1,                                        ,6600,55 5211-5294 - 55 5244-3365                       ,55 5211-6212   ,2/16/06,"0%,  30 Dias                                                                                                            ",95,0,0,0,MOISES KASSIN CHEREM                              ,30,FALSE,,,,,,,,,,,,,P,,,,1
110,"VIKA, S.A. DE C.V.                                          ",                              ,               ,VZI HERSHKOVITS                                   ,,,                                                  ,,,PINO 343-14                             ,          ,          ,STA. MA. LA RIBERA                      ,1,1,                                        ,6400,5541-5275 -                                       ,5547-0835      ,2/20/06,                                                                                                                        ,6,0,0,0,                                                  ,30,FALSE,,,,,,,,,,,,,P,,,,1
111,"CORPORACION ALSI, S.A. DE C.V.                              ",                              ,CAL 910621 LJ3 ,                                                  ,,,                                                  ,,,ANILLO DE CIRCUNVALACION No. 629        ,          ,          ,CENTRO                                  ,1,1,CUAUHTEMOC                              ,6020,0147 77 124207 -                                  ,               ,2/20/06,                                                                                                                        ,61,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
118,MULTI SPORTS S. A DE C. V.                                  ,                              ,MSP 050420 298 ,                                                  ,,,                                                  ,,,BLVD. AEROPUERTO No-425 C               ,          ,          ,PREDIO SANTA JULIA DE JEREZ             ,1,1,                                        ,37290, -                                                ,               ,11/27/06,DESC.  10%  Consig  8 Dias Corte Semanal                                                                                ,305,10,0,0,EDGAR BARREIRO                                    ,0,FALSE,,,,,,,,,,,,,P,,,,1
122,"SHOE MASTERS, S.A DE C.V.                                   ",SHOE                          ,SMA-050929-GEA ,                                                  ,                                                  ,                                                  ,ALEXANDRU BARSAN                                  ,5741-2087                                         ,ABW@SHOEMASTERS.COM.MX                            ,ALFREDO CHAVERO                         ,          ,238,TRANSITO                                ,1,9,CUAUHTEMOC                              ,6820,5741-2087                                         ,5741-2087      ,5/18/07,DESC. 0% 30 DIAS                                                                                                        ,73,0,0,0,MARTIN GOLD                                       ,30,FALSE,,,,,,,,,,,,,P,,,,1
123,"HIT KIDS, S.A. DE C.V.                                      ",                              ,HKI-041109-TV0 ,                                                  ,,,                                                  ,,,AV. 1º  DE MAYO No. 3 LOCAL H           ,          ,          ,FRACC. IND. ALCE BLANCO                 ,1,1,NAUCALPAN DE JUAREZ                     ,53370,5359-4485 - 5359-4303                             ,               ,5/31/07,DESC. 0% CONSIGANCION                                                                                                   ,311,0,0,0,                                                  ,8,FALSE,,,,,,,,,,,,,P,,,,1
130,JUAN CARLOS JUAREZ HERNANDEZ                                ,JUAN CARLOS                   ,JUHJ910708JF8  ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,CERRO CUATE                             ,106,106,INDECO                                  ,1,14,LOGOS DE MORENO JAL.                    ,47473, -                                                ,               ,10/23/07,                                                                                                                        ,184,0,0,0,                                                  ,0,TRUE,,,,,-144,-1852.2,5/9/13,TRUE,,,,,P,FALSE,TRUE,0,1
131,JUAN RAUL VILLAGRANA ONTIVEROS                              ,                              ,VIOJ 750803 6G4,JUAN RAUL VILLAGRANA ONTIVEROS                    ,,,                                                  ,,,ORENSE NO. 1007-01                      ,          ,          ,VISTA HERMOSA                           ,1,1,                                        ,37330,55 26 65 48 - 0147 777 03 49                      ,01477 777 01 09,3/17/08,"DESC. 5%, 45 DIAS                                                                                                       ",185,5,0,0,MAURICIO MONDRAGON MARQUEZ                        ,45,FALSE,,,,,,,,,,,,,P,,,,1
132,VILLAGRANA ONTIVEROS FIDEL                                  ,                              ,VIOF 700423 R55,FIDEL VILLAGRANA ONTIVEROS                        ,,,                                                  ,,,MAGNOLIA NO 13 INT 108-B                ,          ,          ,GUERRERO                                ,1,1,                                        ,        ,57 72 49 37 -                                     ,               ,3/17/08,DESC. 5% 45 DIAS                                                                                                        ,31,5,0,0,MICHAEL VAZQUEZ                                   ,45,FALSE,,,,,,,,,,,,,P,,,,1
136,MAURICIO SERRANO GONZALEZ                                   ,                              ,SEGM-761004 3J0,                                                  ,,,                                                  ,,,GALILEO 317 DESP 202                    ,          ,          ,POLANCO                                 ,1,1,                                        ,11560,52-91-33-00 -                                     ,               ,10/10/08,Desc 0% Consignacion                                                                                                    ,43,0,0,0,CLAUDIA DEWITT                                    ,8,FALSE,,,,,,,,,,,,,P,,,,1
140,"GRUPO PANAM DE MEXICO, S.A. DE C.V.                         ",PANAM                         ,IAT-091211-DS5 ,                                                  ,                                                  ,                                                  ,SANTIAGO CHAGALA                                  ,5899-3200                                         ,COBRANZA2@PANAM.COM.MX                            ,AV. DE LA LUZ                           ,          ,81,PARQUE INDUSTRIAL LA LUZ                ,1,16,CUAUTITLAN IZCALLI                      ,54716,5988-3200 - 5988-3228                             ,               ,4/6/09,DESC. 20%+5%  PANAM   40% LEVIS CANVAS                                                                                  ,50,20,0,0,LUIS GUZMÀN                                       ,30,FALSE,,,,,-263,-57003.86,5/9/13,TRUE,,,,,P,FALSE,FALSE,30,1
142,MAXIMINO ARRONA LIRA                                        ,                              ,AOLM-570608-UHO,                                                  ,,,                                                  ,,,PRENSA LIBRE # 810                      ,          ,          ,FLORES MAGÓN                            ,1,1,                                        ,37350, -                                                ,               ,4/6/09,                                                                                                                        ,153,0,0,0,                                                  ,0,FALSE,,,,,-59,-14910,4/23/12,TRUE,,,,,P,,,,1
143,MULTICAL S.A DE C.V                                         ,                              ,               ,                                                  ,,,                                                  ,,,ALCE BLANCO No. 16                      ,          ,          ,FRACC IND. ALCE BLANCO                  ,1,1,                                        ,53370,9113 2100 -                                       ,9113 9962      ,4/6/09,                                                                                                                        ,154,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
145,"LA MEJOR BOTA, S.A. DE C.V.                                 ",                              ,               ,                                                  ,,,                                                  ,,,                                        ,          ,          ,                                        ,1,1,                                        ,        , -                                                ,               ,10/22/09,                                                                                                                        ,162,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
148,HEBRY CORPORATION S.A. DE C.V                               ,                              ,               ,                                                  ,,,                                                  ,,,                                        ,          ,          ,                                        ,1,1,                                        ,        , -                                                ,               ,5/20/10,                                                                                                                        ,164,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
150,RENÉ ALBERTO MOLINA VICENTE                                 ,RENÉ                          ,MOVR670821B74  ,                                                  ,                                                  ,                                                  ,JOSE MAURICIO NERIA                               ,                                                  ,NERIA_J@HOTMAIL.COM                               ,PITAGORAS                               ,13,1239,DEL VALLE                               ,1,9,BENITO JUAREZ                           ,3100,56-39-35-79 -                                     ,               ,5/20/10,                                                                                                                        ,167,0,0,0,                                                  ,30,TRUE,,,,,-95,-7724.21,5/9/13,TRUE,,,,,P,FALSE,,,1
152,PLASTICOS DEL MORALILLO SA DE CV                            ,MORALILLO                     ,PMO8506051I4   ,                                                  ,                                                  ,                                                  ,GISELA SANCHEZ                                    ,5650-4066                                         ,GSANCHEZ@MORALILLO.COM                            ,CANELA                                  ,BIS       ,260,GRANJAS MEXICO                          ,1,9,IZTACALCO                               ,8400, 5650 4066                                        ,               ,8/20/10,                                                                                                                        ,169,0,0,0,                                                  ,0,TRUE,,,,,,,,,,,,,P,,,,1
153,NU SOUL BY VIDAL                                            ,                              ,               ,                                                  ,,,                                                  ,,,                                        ,          ,          ,                                        ,1,1,                                        ,        , -                                                ,               ,9/21/10,                                                                                                                        ,171,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
154,CALZADO QUE COSITA BONITA SA DE CV                          ,                              ,               ,                                                  ,,,                                                  ,,,                                        ,          ,          ,                                        ,1,1,                                        ,        , -                                                ,               ,10/26/10,                                                                                                                        ,189,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
158,"TTIP & TIP, S.A. DE C.V.                                    ",                              ,               ,                                                  ,,,                                                  ,,,                                        ,          ,          ,                                        ,1,1,                                        ,        , -                                                ,               ,1/31/11,                                                                                                                        ,195,0,0,0,                                                  ,0,FALSE,,,,,-5,-434.15,4/15/13,TRUE,,,,,P,,,,1
159,GOTEX Y ASOCIADOS SA DE CV                                  ,                              ,               ,                                                  ,,,                                                  ,,,"TOLSA NO. 50, PISO 2                    ",          ,          ,CENTRO DE LA CD. DE MEXICO AREA 5       ,1,1,                                        ,6050,57616296 -                                        ,               ,1/31/11,                                                                                                                        ,196,0,0,0,ABRAHAM BERNARDO GOLDAPER HASS                    ,0,FALSE,,,,,,,,,,,,,P,,,,1
160,DISTRIBUIDORA QLI SA DE CV                                  ,QLI                           ,DQL090420DU2   ,                                                  ,                                                  ,                                                  ,ABEL PORCAYO                                      ,01477-7715650                                     ,APORCAYO@FLEXI.COM.MX                             ,BLVD.FCO.VILLA                          ,1,201,ORIENTAL                                ,1,12,LEON                                    ,37290,4777715650 -                                      ,4777717903,4/6/11,"DESC. 5%, 30 DIAS                                                                                                       ",198,5,0,0,                                                  ,30,TRUE,,,,,-13,-6260.19,5/9/13,TRUE,,,,,P,TRUE,TRUE,10,1
161,GRABASA S.A. DE C.V.                                        ,GRABASA                       ,GRA100507QE8   ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,BOULEVARD NUEVO HIDALGO                 ,          ,K.M4.3    ,LA COLONIA                              ,1,1,                                        ,42083,771 717 0290 - 771 717 0291                       ,               ,4/6/11,                                                                                                                        ,199,0,0,0,                                                  ,0,FALSE,,,,,-75,-31329.13,5/9/13,TRUE,,,,,P,,,,1
162,INDUSTRIAS DE CALZADO SANTINI SA DE CV                      ,                              ,ICS 9101142H1  ,                                                  ,,,                                                  ,,,ZAPOTE 102                              ,          ,          ,EL DURAZNAL                             ,1,1,                                        ,37320,01 800 7155511 -                                  ,               ,4/6/11,                                                                                                                        ,205,0,0,0,ERIC BREMAUNTZ                                    ,0,FALSE,,,,,-6,-1850.54,5/9/13,TRUE,,,,,P,,,,1
163,CALZATURIFICIO FIORENTINO SA DE CV                          ,                              ,               ,                                                  ,,,                                                  ,,,BLVD. TANOTEO LAZANO NO 119             ,          ,          ,LAS MARGARITAS SUR                      ,1,1,                                        ,37470,477 715-2399 - 477 770-4870                       ,               ,4/6/11,                                                                                                                        ,206,13,0,0,JUAN CARLOS FONSECA                               ,30,FALSE,,,,,-86,-29420.53,5/9/13,TRUE,,,,,P,,,,1
164,CORPORATIVO DE COMERCIALIZADORAS INTERNACIONALES SA DE CV   ,MICHELIN                      ,CCI100506QZ2   ,VICTORT MANUEL AGUADO                             ,                                                  ,                                                  ,YOLANDA MARTINEZ                                  ,01477-7173172                                     ,ADMINISTRACION@COMERCER.NET                       ,AV. ZAPATEROS                           ,A         ,302,JULIAN DE OBREGON                       ,1,1,LEON                                    ,37290,477 717-31-72                                     ,477 716-1967   ,4/6/11,50% DE DESC. 30 DIAS                                                                                                    ,207,0,0,0,VICTOR AGUADO                                     ,30,TRUE,,,,,-221,-107826.6,5/9/13,TRUE,,,,,P,FALSE,FALSE,30,1
165,COMERCIAL DEVEROZ SA DE CV                                  ,                              ,CDE110117BS1   ,                                                  ,,,                                                  ,,,CALDAS 572-1                            ,          ,          ,VALLE DEL TEPEYAC                       ,1,1,                                        ,7740, -                                                ,               ,4/6/11,                                                                                                                        ,208,45,0,0,JOEL DEVEGA ALVA                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
166,NATURAL LIFE                                                ,                              ,               ,                                                  ,,,                                                  ,,,                                        ,          ,          ,                                        ,1,1,                                        ,        , -                                                ,               ,1/3/12,                                                                                                                        ,209,0,0,0,                                                  ,0,FALSE,,,,,,,,,,,,,P,,,,1
